QuestionID,CategoryID,QuestionText,QuestionOrder,IsActive_x,CreatedDate_x,ModifiedDate_x,CategoryName,AnswerOptionID,OptionText,OptionOrder,IsActive_y,CreatedDate_y,ModifiedDate_y,Year
1,1,What is your age group?,1,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Demographics,3,36-50,3,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
1,1,What is your age group?,1,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Demographics,4,51 or older,4,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
2,1,What is your highest level of education?,2,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Demographics,5,High School,1,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
2,1,What is your highest level of education?,2,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Demographics,6,Bachelor's Degree,2,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
2,1,What is your highest level of education?,2,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Demographics,7,Master's Degree,3,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
2,1,What is your highest level of education?,2,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Demographics,8,Doctorate,4,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
3,2,Rate your expertise in Topic A:,3,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Research Topic A,9,Novice,1,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
3,2,Rate your expertise in Topic A:,3,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Research Topic A,10,Intermediate,2,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
3,2,Rate your expertise in Topic A:,3,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Research Topic A,11,Advanced,3,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
3,2,Rate your expertise in Topic A:,3,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Research Topic A,12,Expert,4,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
4,3,How often do you engage with Topic B in your work?,4,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Research Topic B,13,Daily,1,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
4,3,How often do you engage with Topic B in your work?,4,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Research Topic B,14,Weekly,2,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
4,3,How often do you engage with Topic B in your work?,4,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Research Topic B,15,Monthly,3,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
4,3,How often do you engage with Topic B in your work?,4,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,Research Topic B,16,Rarely or never,4,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
5,4,Are you interested in learning about Topic C?,5,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,New Topic C,17,Very interested,1,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
5,4,Are you interested in learning about Topic C?,5,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,New Topic C,18,Somewhat interested,2,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
5,4,Are you interested in learning about Topic C?,5,True,2024-09-24 14:31:09.336666,2024-09-24 14:31:09.336666,New Topic C,19,Not interested,3,True,2024-09-24 14:31:09.340000,2024-09-24 14:31:09.340000,2022
1,1,What is your age range?,1,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Demographics,1,18-29,1,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
1,1,What is your age range?,1,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Demographics,2,30-44,2,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
1,1,What is your age range?,1,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Demographics,3,45-60,3,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
1,1,What is your age range?,1,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Demographics,4,61 or older,4,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
2,1,What is your highest academic qualification?,2,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Demographics,5,High School Diploma,1,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
2,1,What is your highest academic qualification?,2,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Demographics,6,Bachelor's Degree,2,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
2,1,What is your highest academic qualification?,2,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Demographics,7,Master's Degree,3,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
2,1,What is your highest academic qualification?,2,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Demographics,8,Doctorate or Professional Degree,4,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
3,2,How would you assess your knowledge of Topic A?,3,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Research Topic A,9,Basic understanding,1,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
3,2,How would you assess your knowledge of Topic A?,3,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Research Topic A,10,Practical application knowledge,2,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
3,2,How would you assess your knowledge of Topic A?,3,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Research Topic A,11,Advanced theoretical knowledge,3,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
3,2,How would you assess your knowledge of Topic A?,3,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Research Topic A,12,Expert with original contributions,4,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
4,3,"In the past year, how has your involvement with Topic B changed?",4,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Research Topic B,13,Significantly increased,1,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
4,3,"In the past year, how has your involvement with Topic B changed?",4,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Research Topic B,14,Slightly increased,2,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
4,3,"In the past year, how has your involvement with Topic B changed?",4,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Research Topic B,15,Remained the same,3,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
4,3,"In the past year, how has your involvement with Topic B changed?",4,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Research Topic B,16,Decreased,4,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
5,4,How has Topic C influenced your work or research?,5,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Topic C,17,Major influence,1,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
5,4,How has Topic C influenced your work or research?,5,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Topic C,18,Moderate influence,2,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
5,4,How has Topic C influenced your work or research?,5,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Topic C,19,Minor influence,3,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
5,4,How has Topic C influenced your work or research?,5,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,Topic C,20,No influence,4,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
6,5,What aspect of Topic D interests you the most?,6,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,New Topic D,21,Theoretical foundations,1,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
6,5,What aspect of Topic D interests you the most?,6,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,New Topic D,22,Practical applications,2,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
6,5,What aspect of Topic D interests you the most?,6,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,New Topic D,23,Future developments,3,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
6,5,What aspect of Topic D interests you the most?,6,True,2024-09-24 15:01:20.596666,2024-09-24 15:01:20.596666,New Topic D,24,Interdisciplinary connections,4,True,2024-09-24 15:01:20.600000,2024-09-24 15:01:20.600000,2023
